item_id,timestamp,price,quantity,ma_1h,ma_6h,ma_24h,volatility_24h,price_change_1h,target_next_price
810,2025-11-19 14:52:33,178000000,1,178000000.0,178000000.0,178000000.0,0.0,0.0,178000000.0
811,2025-11-19 14:52:33,293466000,4,293466000.0,293466000.0,293466000.0,0.0,0.0,293466000.0
812,2025-11-19 14:52:33,83656800,4,83656800.0,83656800.0,83656800.0,0.0,0.0,83656800.0
820,2025-11-19 14:52:33,99999900,2,99999900.0,99999900.0,99999900.0,0.0,0.0,99999900.0
821,2025-11-19 14:52:33,192667800,2,192667800.0,192667800.0,192667800.0,0.0,0.0,192667800.0
826,2025-11-19 14:52:33,404555200,1,404555200.0,404555200.0,404555200.0,0.0,0.0,404555200.0
827,2025-11-19 14:52:33,49999900,3,49999900.0,49999900.0,49999900.0,0.0,0.0,49999900.0
828,2025-11-19 14:52:33,2500,8,2500.0,2500.0,2500.0,0.0,0.0,2500.0
832,2025-11-19 14:52:33,226351600,3,226351600.0,226351600.0,226351600.0,0.0,0.0,226351600.0
837,2025-11-19 14:52:33,7271900,1,7271900.0,7271900.0,7271900.0,0.0,0.0,7271900.0
838,2025-11-19 14:52:33,20753800,1,20753800.0,20753800.0,20753800.0,0.0,0.0,20753800.0
839,2025-11-19 14:52:33,3337100,1,3337100.0,3337100.0,3337100.0,0.0,0.0,3337100.0
840,2025-11-19 14:52:33,17114000,1,17114000.0,17114000.0,17114000.0,0.0,0.0,17114000.0
843,2025-11-19 14:52:33,17462500,1,17462500.0,17462500.0,17462500.0,0.0,0.0,17462500.0
845,2025-11-19 14:52:33,6061300,1,6061300.0,6061300.0,6061300.0,0.0,0.0,6061300.0
846,2025-11-19 14:52:33,49595900,1,49595900.0,49595900.0,49595900.0,0.0,0.0,49595900.0
847,2025-11-19 14:52:33,61200,2,61200.0,61200.0,61200.0,0.0,0.0,61200.0
848,2025-11-19 14:52:33,5380400,1,5380400.0,5380400.0,5380400.0,0.0,0.0,5380400.0
849,2025-11-19 14:52:33,7495000,1,7495000.0,7495000.0,7495000.0,0.0,0.0,7495000.0
850,2025-11-19 14:52:33,6122200,1,6122200.0,6122200.0,6122200.0,0.0,0.0,6122200.0
852,2025-11-19 14:52:33,7116900,1,7116900.0,7116900.0,7116900.0,0.0,0.0,7116900.0
863,2025-11-19 14:52:33,2000000,7,2000000.0,2000000.0,2000000.0,0.0,0.0,2000000.0
864,2025-11-19 14:52:33,996700,11,996700.0,996700.0,996700.0,0.0,0.0,996700.0
865,2025-11-19 14:52:33,390000,2,390000.0,390000.0,390000.0,0.0,0.0,390000.0
866,2025-11-19 14:52:33,2000000,2,2000000.0,2000000.0,2000000.0,0.0,0.0,2000000.0
867,2025-11-19 14:52:33,935328700,1,935328700.0,935328700.0,935328700.0,0.0,0.0,935328700.0
868,2025-11-19 14:52:33,360617000,3,360617000.0,360617000.0,360617000.0,0.0,0.0,360617000.0
869,2025-11-19 14:52:33,269990000,2,269990000.0,269990000.0,269990000.0,0.0,0.0,269990000.0
870,2025-11-19 14:52:33,1921511400,2,1921511400.0,1921511400.0,1921511400.0,0.0,0.0,1921511400.0
871,2025-11-19 14:52:33,381683500,4,381683500.0,381683500.0,381683500.0,0.0,0.0,381683500.0
873,2025-11-19 14:52:33,206979300,2,206979300.0,206979300.0,206979300.0,0.0,0.0,206979300.0
880,2025-11-19 14:52:33,23921800,2,23921800.0,23921800.0,23921800.0,0.0,0.0,23921800.0
885,2025-11-19 14:52:33,360362300,5,360362300.0,360362300.0,360362300.0,0.0,0.0,360362300.0
886,2025-11-19 14:52:33,43889000,2,43889000.0,43889000.0,43889000.0,0.0,0.0,43889000.0
890,2025-11-19 14:52:33,13002300,7,13002300.0,13002300.0,13002300.0,0.0,0.0,13002300.0
892,2025-11-19 14:52:33,715000000,3,715000000.0,715000000.0,715000000.0,0.0,0.0,715000000.0
897,2025-11-19 14:52:33,249999700,3,249999700.0,249999700.0,249999700.0,0.0,0.0,249999700.0
899,2025-11-19 14:52:33,305498300,2,305498300.0,305498300.0,305498300.0,0.0,0.0,305498300.0
914,2025-11-19 14:52:33,39982800,1,39982800.0,39982800.0,39982800.0,0.0,0.0,39982800.0
920,2025-11-19 14:52:33,499999900,1,499999900.0,499999900.0,499999900.0,0.0,0.0,499999900.0
923,2025-11-19 14:52:33,3110200,1,3110200.0,3110200.0,3110200.0,0.0,0.0,3110200.0
924,2025-11-19 14:52:33,12465500,1,12465500.0,12465500.0,12465500.0,0.0,0.0,12465500.0
925,2025-11-19 14:52:33,10339100,1,10339100.0,10339100.0,10339100.0,0.0,0.0,10339100.0
926,2025-11-19 14:52:33,25967300,1,25967300.0,25967300.0,25967300.0,0.0,0.0,25967300.0
927,2025-11-19 14:52:33,8507400,1,8507400.0,8507400.0,8507400.0,0.0,0.0,8507400.0
928,2025-11-19 14:52:33,82814500,1,82814500.0,82814500.0,82814500.0,0.0,0.0,82814500.0
934,2025-11-19 14:52:33,137315400,4,137315400.0,137315400.0,137315400.0,0.0,0.0,137315400.0
935,2025-11-19 14:52:33,222227800,1,222227800.0,222227800.0,222227800.0,0.0,0.0,222227800.0
936,2025-11-19 14:52:33,29168600,3,29168600.0,29168600.0,29168600.0,0.0,0.0,29168600.0
937,2025-11-19 14:52:33,300000000,2,300000000.0,300000000.0,300000000.0,0.0,0.0,300000000.0
942,2025-11-19 14:52:33,93527500,1,93527500.0,93527500.0,93527500.0,0.0,0.0,93527500.0
944,2025-11-19 14:52:33,616220000,1,616220000.0,616220000.0,616220000.0,0.0,0.0,616220000.0
1121,2025-11-19 14:52:33,30660700,3,30660700.0,30660700.0,30660700.0,0.0,0.0,30660700.0
1168,2025-11-19 14:52:33,4999959900,2,4999959900.0,4999959900.0,4999959900.0,0.0,0.0,4999959900.0
1169,2025-11-19 14:52:33,399999900,2,399999900.0,399999900.0,399999900.0,0.0,0.0,399999900.0
1189,2025-11-19 14:52:33,67856500,2,67856500.0,67856500.0,67856500.0,0.0,0.0,67856500.0
1190,2025-11-19 14:52:33,162500000,2,162500000.0,162500000.0,162500000.0,0.0,0.0,162500000.0
1194,2025-11-19 14:52:33,36535300,1,36535300.0,36535300.0,36535300.0,0.0,0.0,36535300.0
1195,2025-11-19 14:52:33,200000,5,200000.0,200000.0,200000.0,0.0,0.0,200000.0
